Fecha Salida	Salida	Factura	Econo	Modelo	Serie
10/04/2025	18517	8536	TR0028	2025	LJXBS5A36SYF24254
23/04/2025	18541	8537	TR0096	2025	LJXBS5A32SYF55937
07/04/2025	18510	8542	B10012	2025	3FMCR9DA3SRE08193
14/04/2025	18521	8543	BR0003	2024	1FMEE4HH5RLA39697
23/04/2025	18543	8544	TR0095	2025	LJXBS5A33SYF55574
25/04/2025	18556	8545	TR0078	2025	LJXBS5A3XSYF54941
22/04/2025	18540	8546	CV0014	2024	WF0RS5HF4RZN59046
16/04/2025	18533	8547	TR0061	2025	LJXBS5A38SYF43596
24/04/2025	18554	8548	BR0005	2024	1FMEE4HH3RLA28925
26/04/2025	18559	8549	TR0094	2025	LJXBS5A32SYF50544
26/04/2025	18560	8554	TB0001	2025	3FMTK4SX7SMA04969
29/04/2025	18571	8561	CV0009	2024	WF0RS5HF7RZN59039
